"ശ്രീനിവാസൻ: പറയെടാ... നീ അമേരിക്കയിൽ എവിടെയായിരുന്നു?
മോഹൻലാൽ: അമേരിക്കയിൽ... അതുപിന്നെ അമേരിക്കൻ ജംഗ്ഷനിൽ!
ശ്രീനിവാസൻ: ഹ ഹ ഹ... അമേരിക്കയിൽ അങ്ങോനൊരു സ്ഥലമേ ഇല്ല..!!
മോഹൻലാൽ: എന്ത് വിഢിത്തമാണീ പറയുന്നേ.. ജംഗ്ഷനില്ലാത്ത നാടുണ്ടോ?!
...
ശ്രീനിവാസൻ: How many kilometers from Washington D.C. to Miami Beach?
മോഹൻലാൽ: I am the answers. Kilometers and kilometers.. In these days of degenerating decencies of Miami beach to Washington when diplomacy and duplicity become interchangeability of from complicated from America to America.
...
മോഹൻലാൽ: You talking too much.I kick your face and getout.You talking nonsense in the house of my wife, mother and father.Uncle, send him out, out house, go go go, go away..
ജഗതി: Go away stupid, In the house of my wife and daughter, you will not see any minute of the today, GET OUTHOUSE. GET OUTHOUSE."	മഴപെയ്യുന്നു മദ്ദളം കൊട്ടുന്നു 
"സംഗീതം പഠിക്കണമെന്ന മോഹവുമായി ചെന്ന് കയറിയത് ഒരു സിംഹത്തിന്റെ മടയിൽ... ഉസ്താദ് ബാദുഷ ഖാൻ... ആഗ്രഹം അറിയിച്ചപ്പോൾ ദക്ഷിണ വെക്കാൻ പറഞ്ഞു... ഊരുതെണ്ടിയുടെ ഓട്ടകീശയിൽ എന്തുണ്ട്... സംഗീതത്തിന്റെ ആദ്യാക്ഷരങ്ങൾ പഠിപ്പിച്ച അമ്മയെ മനസ്സിൽ ധ്യാനിച്ച്... രാഗത്തിൽ ഒരു കീർത്തനം പാടി... പാടി മുഴുമിപ്പിക്കും മുൻപ് വിറയാർന്ന കൈകൾ കൊണ്ട് വാരിപ്പുണർന്നു... പിന്നെ സിരകളിൽ സംഗീതത്തിന്റെ ഭാങ്ങും കാലമൊരുപാട്... ഒടുവിലൊരു നാൾ ഗുരുവിന്റെ കബറിങ്കൽ ഒരു പിടി പച്ച മണ്ണ് വാരിയിട്ടു യാത്ര തുടർന്നു ഒരിക്കലും തീരാത്ത യാത്ര...
സബ്രോംകി സിന്ദഗി ജോ കഭി നഹി ജാതീ ഹായ്"	ആറാം തമ്പുരാൻ 
അതിമോഹമാണ് മോനെ അതിമോഹം... എന്റെ അച്ഛന്റെ ചിത കത്തുന്ന കാലം വരെ നിനക്കായുസുണ്ടാകും എന്ന മോഹം... അത് തെറ്റാണെന്നു ബോധ്യമാകുമ്പോ നീ വാ... എന്റെ അച്ഛന്റെ കാലിലെ ഒന്നോ രണ്ടോ നഖം വെട്ടിത്തരാം നിനക്ക്... കൊണ്ട് പോയി ചന്ദനമുട്ടിയിൽ വെച്ച് കത്തിച്ചു ആശ തീർക്കാം നിനക്ക്... ആശ തീർക്കാം... നീ പോ മോനെ ദിനേശാ..	നരസിംഹം 
യവൻ പുലിയാണ് കേട്ട 	രാജമാണിക്യം 
തളരരുത് രാമൻകുട്ടി തളരരുത് .	കല്യാണരാമൻ 
എത്ര മനോഹരമായ നടക്കാത്ത സ്വപ്നം	നാടോടിക്കാറ്റ്
പുരുഷു എന്നെ അനുഗ്രഹിക്കണം, പുരുഷുവിനു ഇപ്പോ യുദ്ധമൊന്നും ഇല്ലേ..	മീശമാധവൻ
സൂക്ഷിച്ചു നോക്കണ്ടടാ ഉണ്ണീ ഇത് ഞാനല്ല...  	പറക്കും തളിക
എനിക്കു എഴുതാൻ മാത്രമല്ലെ അറിയൂ വായിക്കാൻ അറിയില്ലല്ലോ സാറേ.	സി ഐ ഡി മൂസ
എന്തിനോ വേണ്ടി തിളയ്ക്കുന്ന സാമ്പാർ	കല്യാണരാമൻ 
തോമസൂട്ടി വിട്ടോടാ 	ഇൻ ഹരിഹർ നഗർ
എനിക്ക് പ്രാന്തായതാണോ അതോ നാട്ടുകാർക്ക് മൊത്തം പ്രാന്തായോ?	മായാവി
എന്നോടോ ബാലാ	കഥ പറയുമ്പോൾ
ചോയിച്ചു ചോയിച്ചു പോകാം.... 	അയാൾ കഥയെഴുതുകയാണ്
എന്റെ ഐഡിയ ആയി പോയി നിന്റെ ഐഡിയ ആയിരുന്നെങ്കി കൊന്നേനെ പന്നീ  	ഇൻ ഹരിഹർ നഗർ
ഉഷ്ണം ഉഷ്ണേന ശാന്തികൃഷ്ണാ... 	കല്യാണരാമൻ
നീ പൊന്നപ്പനല്ലടാ തങ്കപ്പനാ... 	മാന്നാർ മത്തായി സ്‌പീക്കിങ് 
ചേട്ടാ കുറച്ചു ചോറ് ഇടട്ടെ  	കല്യാണരാമൻ 
"മൊതലാളീ...! 
മൊതലാളി ഒരു ചെറ്റയാണ്..."	പഞ്ചാബി ഹൗസ്
കൂട്ടുകാരന് ഭ്രാന്താണെന്ന് വച്ചു ഉപേക്ഷിക്കാൻ പറ്റുവോ	ഇൻ ഹരിഹർ നഗർ
പടക്കങ്ങൾ എന്നുമെന്റെ വീക്നെസ് ആയിരുന്നു.	പുലിവാൽ കല്യാണം
വിടമാട്ടെ.. 	മണിച്ചിത്രത്താഴ്
ഇപ്പൊ ശരിയാക്കിത്തര..	വെള്ളാനകളുടെ നാട്
എന്നെ ശരിക്കൊന്ന് നോക്കിക്കേ എന്തേലും കൊഴപ്പണ്ടൊന്ന് 	മണിച്ചിത്രത്താഴ്
ഇതൊക്കെയെന്ത് 	മായാവി
ഞാനെ കണ്ടുള്ളൂ ഞാൻ മാത്രമേ കണ്ടുള്ളൂ..... 	നന്ദനം
ടാസ്‌കി വിളിയെടാ 	തേന്മാവിൻ കൊമ്പത്ത്
രതീഷ് എണീക്ക് രതീഷ്..	കട്ടപ്പനയിലെ ഋത്വിക്‌ റോഷൻ
സൈക്കോസോസിന്റെ പല അവസ്ഥാന്തരകളും	മണിച്ചിത്രത്താഴ്
നാരിയൽ കാ പാനി.	സന്ദേശം
തന്റെ തന്ത അല്ല എന്റെ തന്ത.. 	ലൂസിഫർ
പ്പ പ്പുല്ലേ...ഓർമയുണ്ടോ ഈ മുഖം.. 	കമ്മീഷ്ണർ
ഷമ്മി ഹീറോ ടാ ഹീറോ.. 	കുമ്പളങ്ങി നൈറ്റ്സ്
